Date,Open,High,Low,Close,Adj Close,Volume
2020-12-07,344785.000000,345500.000000,342600.000000,343539.000000,343539.000000,6
2020-12-08,341888.000000,343191.000000,340126.000000,342281.000000,342281.000000,3
2020-12-09,342526.000000,343000.000000,340300.000000,340501.000000,340501.000000,3
2020-12-10,339750.000000,341942.000000,339061.000000,340500.000000,340500.000000,3
2020-12-11,338440.000000,340415.000000,337167.000000,340064.000000,340064.000000,2
2020-12-14,342200.000000,342200.000000,334041.000000,335400.000000,335400.000000,4
2020-12-15,336494.000000,338920.000000,334643.000000,337154.000000,337154.000000,5
2020-12-16,337154.000000,338559.000000,333333.000000,338500.000000,338500.000000,7
2020-12-17,335000.000000,339804.000000,333150.000000,339804.000000,339804.000000,9
2020-12-18,338000.000000,338468.000000,333865.000000,337900.000000,337900.000000,7
2020-12-21,333650.000000,338419.000000,333650.000000,338419.000000,338419.000000,5
2020-12-22,335535.000000,336615.000000,334500.000000,335779.000000,335779.000000,5
2020-12-23,336400.000000,338533.000000,336400.000000,336700.000000,336700.000000,4
2020-12-24,337000.000000,341000.000000,337000.000000,340262.000000,340262.000000,2
2020-12-28,342000.000000,345250.000000,341445.000000,342601.000000,342601.000000,5
2020-12-29,345144.000000,346677.000000,343975.000000,344820.000000,344820.000000,3
2020-12-30,344410.000000,346111.000000,343917.000000,345095.000000,345095.000000,2
2020-12-31,344302.000000,348500.000000,343806.000000,347815.000000,347815.000000,3
2021-01-04,347825.000000,347825.000000,340816.000000,343525.000000,343525.000000,4
2021-01-05,343900.000000,344715.000000,340850.000000,341820.000000,341820.000000,3
2021-01-06,343000.000000,349000.000000,342000.000000,346189.000000,346189.000000,9
2021-01-07,347900.000000,351000.000000,347120.000000,350089.000000,350089.000000,3
2021-01-08,350500.000000,352039.000000,348100.000000,352039.000000,352039.000000,2
2021-01-11,348100.000000,351141.000000,348073.000000,350050.000000,350050.000000,2
2021-01-12,350050.000000,351250.000000,348250.000000,350460.000000,350460.000000,2
2021-01-13,349147.000000,353194.000000,348140.000000,353194.000000,353194.000000,3
2021-01-14,353100.000000,353698.000000,351574.000000,352801.000000,352801.000000,1
2021-01-15,350540.000000,352500.000000,348500.000000,350320.000000,350320.000000,3
2021-01-19,351177.000000,354837.000000,348070.000000,352474.000000,352474.000000,3
2021-01-20,351975.000000,353350.000000,350639.000000,352801.000000,352801.000000,3
2021-01-21,354200.000000,354835.000000,352400.000000,354000.000000,354000.000000,5
2021-01-22,351800.000000,351800.000000,349500.000000,350620.000000,350620.000000,3
2021-01-25,349000.000000,352085.000000,347250.000000,351900.000000,351900.000000,4
2021-01-26,350191.000000,351800.000000,349025.000000,349200.000000,349200.000000,2
2021-01-27,346145.000000,346645.000000,341119.000000,343450.000000,343450.000000,5
2021-01-28,344340.000000,351976.000000,344340.000000,348220.000000,348220.000000,4
2021-01-29,344749.000000,346355.000000,343000.000000,344100.000000,344100.000000,3
2021-02-01,345000.000000,346945.000000,344250.000000,346175.000000,346175.000000,3
2021-02-02,348300.000000,352000.000000,348300.000000,350201.000000,350201.000000,4
2021-02-03,350200.000000,351086.000000,349250.000000,350701.000000,350701.000000,2
2021-02-04,351700.000000,355000.000000,351192.000000,354760.000000,354760.000000,4
2021-02-05,355750.000000,356500.000000,353846.000000,354401.000000,354401.000000,3
2021-02-08,355000.000000,357100.000000,354401.000000,357100.000000,357100.000000,3
2021-02-09,356588.000000,362395.000000,355021.000000,362200.000000,362200.000000,6
2021-02-10,363145.000000,363232.000000,360556.000000,361290.000000,361290.000000,3
2021-02-11,361061.000000,362300.000000,360109.000000,361650.000000,361650.000000,2
2021-02-12,359750.000000,365725.000000,359750.000000,365000.000000,365000.000000,4
2021-02-16,367658.000000,372661.000000,366000.000000,369333.000000,369333.000000,9
2021-02-17,368560.000000,370873.000000,368560.000000,370500.000000,370500.000000,5
2021-02-18,368885.000000,370000.000000,364760.000000,367400.000000,367400.000000,13
