Date,Open,High,Low,Close,Adj Close,Volume
2020-12-07,158.550003,158.970001,156.710007,158.020004,155.160156,7009300
2020-12-08,157.460007,159.289993,155.869995,158.800003,155.926025,6088300
2020-12-09,158.600006,161.070007,155.550003,156.020004,153.196350,7947200
2020-12-10,154.419998,157.850006,152.729996,155.750000,152.931213,7522200
2020-12-11,149.240005,150.270004,141.889999,144.279999,141.668823,25923100
2020-12-14,144.899994,147.750000,143.330002,146.289993,143.642426,12258500
2020-12-15,149.369995,149.919998,147.100006,148.360001,145.674988,6616400
2020-12-16,149.139999,150.440002,146.710007,149.740005,147.030014,6610900
2020-12-17,150.869995,151.229996,148.380005,149.529999,146.823792,7039000
2020-12-18,150.789993,150.789993,146.119995,147.419998,144.751984,13288300
2020-12-21,145.009995,147.360001,144.410004,146.800003,144.143219,7024600
2020-12-22,146.610001,147.029999,144.720001,146.339996,143.691528,5751500
2020-12-23,147.630005,151.539993,146.869995,146.960007,144.300323,5186700
2020-12-24,147.800003,148.899994,147.199997,148.789993,146.097183,2120200
2020-12-28,150.619995,151.070007,147.440002,147.740005,145.066193,4576600
2020-12-29,148.970001,148.990005,147.029999,148.490005,145.802628,3543800
2020-12-30,149.119995,151.610001,148.919998,149.949997,147.236191,3965600
2020-12-31,150.320007,152.559998,150.100006,152.339996,149.582932,4941700
2021-01-04,153.009995,155.149994,147.139999,148.500000,145.812439,9827000
2021-01-05,148.649994,152.699997,148.500000,152.429993,149.671295,8507200
2021-01-06,151.529999,153.869995,149.470001,151.190002,148.453751,7174600
2021-01-07,152.330002,156.419998,152.259995,155.699997,152.882141,8482300
2021-01-08,157.229996,157.529999,154.539993,156.639999,153.805130,6252400
2021-01-11,156.100006,158.130005,154.919998,156.110001,153.284714,5147800
2021-01-12,156.639999,156.869995,153.960007,154.449997,151.654755,4385700
2021-01-13,155.190002,157.929993,153.649994,157.419998,154.570999,5479900
2021-01-14,159.399994,163.179993,158.500000,160.850006,157.938950,10102400
2021-01-15,160.770004,160.860001,156.880005,157.089996,154.246964,8607400
2021-01-19,158.940002,164.100006,158.449997,163.770004,160.806076,8209000
